
epoch 0| train:334.8313527107239 | val:137.77133750915527 | top1:0.3846366167549164 | top5:0.7741575462202872
epoch 1| train:323.6134903430939 | val:133.36787247657776 | top1:0.4890552999511842 | top5:0.8485143050070731
epoch 2| train:313.61406230926514 | val:129.24301981925964 | top1:0.5394705264799057 | top5:0.8913690476648269
epoch 3| train:304.4272804260254 | val:125.56275451183319 | top1:0.573996736157325 | top5:0.9054699501683635
epoch 4| train:296.03338277339935 | val:121.97896373271942 | top1:0.5815452193060229 | top5:0.9150585637938592
epoch 5| train:288.39794993400574 | val:118.77195131778717 | top1:0.5850494431872522 | top5:0.9203389017812668
epoch 6| train:281.27886867523193 | val:115.8911052942276 | top1:0.5981782838221519 | top5:0.9271553379874076
epoch 7| train:274.95780658721924 | val:113.00747990608215 | top1:0.6015144971109205 | top5:0.9289194508906333
epoch 8| train:268.2429155111313 | val:110.09775173664093 | top1:0.6052707376018647 | top5:0.9319436444390204
epoch 9| train:262.03032982349396 | val:108.09410572052002 | top1:0.6057267669708498 | top5:0.92739535339417
epoch 10| train:257.6207709312439 | val:105.77741241455078 | top1:0.6059547811746597 | top5:0.9334557412132141
epoch 11| train:252.5703090429306 | val:103.50100064277649 | top1:0.6173315096286035 | top5:0.9339597734712786
epoch 12| train:247.84445881843567 | val:101.58667087554932 | top1:0.6141153035625335 | top5:0.9342117896003108
epoch 13| train:244.31319892406464 | val:99.78741538524628 | top1:0.6138152845444218 | top5:0.9339477727490086
epoch 14| train:239.87779998779297 | val:98.03133988380432 | top1:0.6183635755892722 | top5:0.9382560483870968
epoch 15| train:236.52701663970947 | val:96.46022319793701 | top1:0.6223958336537884 | top5:0.9362279186325688
epoch 16| train:232.67885720729828 | val:95.31421053409576 | top1:0.623163882763155 | top5:0.9359879032258065
epoch 17| train:230.59807968139648 | val:93.52510607242584 | top1:0.6291882684153896 | top5:0.9397681451612904
epoch 18| train:226.33408844470978 | val:92.38405966758728 | top1:0.6271961408276712 | top5:0.9367439516129032
epoch 19| train:224.1953682899475 | val:91.23055720329285 | top1:0.6241599465570142 | top5:0.9379920315357947
epoch 20| train:221.07293331623077 | val:90.1162497997284 | top1:0.6281802038992604 | top5:0.9405241935483871
epoch 21| train:218.91885447502136 | val:89.33415710926056 | top1:0.6246759795373485 | top5:0.9445564516129032
epoch 22| train:216.72479701042175 | val:87.57694071531296 | top1:0.6365567397686743 | top5:0.9422883064516129
epoch 23| train:216.39167594909668 | val:86.76242709159851 | top1:0.6369767669708498 | top5:0.9412562404909441
epoch 24| train:213.1616860628128 | val:86.18035221099854 | top1:0.6402289747230469 | top5:0.9422763057293431
epoch 25| train:211.47609055042267 | val:85.00834465026855 | top1:0.6349846393831314 | top5:0.9417842741935484
epoch 26| train:208.90755128860474 | val:84.27148377895355 | top1:0.6377568168024863 | top5:0.9425403225806451
epoch 27| train:207.36557459831238 | val:83.61287498474121 | top1:0.639796947279284 | top5:0.9445564516129032
epoch 28| train:205.98973321914673 | val:83.00794887542725 | top1:0.6448372698599293 | top5:0.9438004032258065
epoch 29| train:204.69095695018768 | val:82.28603887557983 | top1:0.6448492705821991 | top5:0.9425283218583753
epoch 30| train:202.53745234012604 | val:81.99366462230682 | top1:0.6389808948001554 | top5:0.9435363863745043
epoch 31| train:201.06056666374207 | val:80.8482209444046 | top1:0.6455573160802165 | top5:0.9450124809818883
epoch 32| train:201.1877794265747 | val:80.17580354213715 | top1:0.6488695279244454 | top5:0.9437884025035366
epoch 33| train:200.6198343038559 | val:79.6221878528595 | top1:0.6433011716411959 | top5:0.946320564516129
epoch 34| train:197.84125435352325 | val:79.16350603103638 | top1:0.6528897852666916 | top5:0.9427683372651378
epoch 35| train:197.04973924160004 | val:78.3576807975769 | top1:0.6556619626860465 | top5:0.9468005953296539
epoch 36| train:195.77425718307495 | val:77.99241399765015 | top1:0.6576900924405744 | top5:0.9463085637938592
epoch 37| train:194.18884873390198 | val:77.58599424362183 | top1:0.656718030091255 | top5:0.9475686444390204
epoch 38| train:192.0805625319481 | val:76.6516627073288 | top1:0.6526617705821991 | top5:0.9440524193548387
